app_id,title,app_type,developer,publisher,release_date,rating_text,game_desc,user_tag
730,Counter-Strike: Global Offensive,Game,Valve,Valve,21 August 2012 – 17:00:00 UTC,"87.93% of the 4,921,825 user reviews are positive.

SteamDB Rating","Counter-Strike: Global Offensive (CS: GO) expands upon the team-based action gameplay that it pioneered when it was launched 19 years ago. CS: GO features new maps, characters, weapons, and game modes, and delivers updated versions of the classic CS content (de_dust2, etc.).","Strategy, Action, FPS, Moddable, War, Co-op, Tactical, Fast-Paced, Shooter, PvP, First-Person, Online Co-Op, Multiplayer, Competitive, Difficult, Military, Realistic, Trading, eSports, Team-Based"
625340,XERA: Survival,Game,Spotted Kiwi Interactive,Spotted Kiwi Interactive,24 May 2019 – 21:44:00 UTC,"66.52% of the 1,864 user reviews are positive.

SteamDB Rating","When a prototype combat robot becomes self-aware, only you and competing mercenaries can end a war that humanity cannot afford to lose. Set in 2022, XERA: Survival is an action-focused looter shooter - multiplayer, open world, PvPvE survival, featuring a global gear stash accessible from any server.","Strategy, Action, Adventure, Massively Multiplayer, Indie, Early Access, Simulation, Survival, FPS, Co-op, Open World, Fast-Paced, Shooter, PvP, Third-Person Shooter, First-Person, Multiplayer, Violent, PvE, Looter Shooter"
686230,OutSplit,Game,Riviysky,Riviysky,11 August 2017 – 08:05:16 UTC,"","","Indie, Puzzle, Indie, Puzzle"
634230,Project First Contact,Game,Cristian Manolachi,Cristian Manolachi,26 July 2017 – 07:13:39 UTC,"49.06% of the 106 user reviews are positive.

SteamDB Rating","Hundreds of UFOs have subjugated Earth nations and the aliens began their so-called """"Project First Contact"""": conquest of the entire planet.","Action, Adventure, Indie, Simulation, Survival, Horror, Aliens, Psychological Horror, Story Rich, Great Soundtrack, Exploration, First-Person, Sci-fi, Survival Horror, Difficult, Atmospheric, Realistic, Dark, Alternate History, Violent"
524680,Escape From Nazi Labs,Game,Manic Mind Game Lab,Manic Mind Game Lab,8 November 2016 – 15:55:13 UTC,"","","Action, RPG, Indie, Rogue-like, Dungeon Crawler, Perma Death, Retro, Difficult, Procedural Generation, Action, RPG, Indie, Rogue-like, Dungeon Crawler, Perma Death, Retro, Difficult, Procedural Generation"
437390,HoPiKo,Game,Laser Dog,Merge Games,6 January 2017 – 17:50:25 UTC,"75.15% of the 169 user reviews are positive.

SteamDB Rating","HoPiKo is an intense speed run platformer where you get to save gaming. Jump from platform to platform avoiding death, exploiting shortcuts and ripping through 100s of hand-crafted levels, each one dropped into a 5-stage mini run designed to break your mind!","Action, Indie, Casual, Platformer"
619730,Mad Driver,Game,SP,"",27 August 2017 – 14:40:00 UTC,"","","Strategy, Strategy"
491030,The Last Error,Game,Anatoliy Loginovskikh,"",1 November 2016 – 17:02:05 UTC,"","","Action, Puzzle, Shooter, 2D, Action, Puzzle, Shooter, 2D"
531490,Golden Swords,Game,Vlad K.,AEY Inc.,26 October 2016 – 18:41:14 UTC,"","","Adventure, Adventure"
354920,Pester,Game,Flump Studios,Funbox Media Ltd,21 August 2015 – 18:23:52 UTC,"54.88% of the 82 user reviews are positive.

SteamDB Rating","A blast from Flump Studios past! Pester was released on Xbox live indies back in early 2013 and was Flump Studios first game developed for public release. A remake of one of my early C64 games, Pester is a very fast paced and busy retro vertical shooter.","Indie, Shoot 'Em Up, Bullet Hell"
271550,Tribloos 2,Game,BumpkinBrothers,BumpkinBrothers,30 January 2014 – 09:42:00 UTC,"83.93% of the 280 user reviews are positive.

SteamDB Rating","The Tribloos 2 is the sequel to the best-selling time management game, The Tribloos.Trey's village is under threat once more. Before there was only one storm to worry about, now there have been many and Matilda the dragon is being tired out trying to blow them all away!Can You Help Trey Save His Island?","Strategy, Indie, Casual, Time Management"
604830,All Alone: VR,Game,8bit,Bitlock Studio,9 March 2017 – 01:59:47 UTC,"66.67% of the 48 user reviews are positive.

SteamDB Rating",The main goal in All Alone is to find the way out of such forgotten town.,"Adventure, Indie, VR"
618260,Endurance,Game,Gestmorph Games,Gestmorph Games,16 January 2018 – 22:08:16 UTC,"66.67% of the 6 user reviews are positive.

SteamDB Rating","You have a game to play, but it's not going to be that simple. For you see; you've got to eat, drink and close the door. Sound easy? You best be prepared as beating the game as fast as possible is your objective and life is going to be the number one reason for slowing you down.","Strategy, Adventure, RPG, Indie"
610390,Sugar Box,Game,Riviysky,Riviysky,15 December 2017 – 22:01:07 UTC,"","","Casual, Puzzle, Casual, Puzzle"
369310,Monstro: Battle Tactics,Game,Retrocade.net,Retrocade.net,3 December 2015 – 16:22:15 UTC,"91.30% of the 23 user reviews are positive.

SteamDB Rating","Monstro takes the traditional tRPG gameplay and reconstructs it into a completely deterministic, logical experience with a twist of tactics. All of this is spiced up with ridiculous, tongue-in-cheek lore and approachable difficulty.","Strategy, Indie, Casual, Puzzle, Turn-Based, Turn-Based Tactics"
609180,Hotel 19-95,Game,RedSquare Studios,bcInteractive,19 June 2017 – 22:40:20 UTC,"","",""
369000,Pongo,Game,Drixy Games,Black Shell Media,11 May 2015 – 18:35:01 UTC,"70.13% of the 472 user reviews are positive.

SteamDB Rating","Pongo is a 3D action platformer that combines pogo stick jumps with strategic FPS combat. Grab your Pongo, a tool usable as either a pogo stick or a gun, and traverse the vast islands of Flubber.","Strategy, Action, Adventure, Indie, Casual, FPS"
761330,Navalny 20!8 : The Rise of Evil,Game,Grizlikyt,Dagestan Technology,4 May 2018 – 15:17:53 UTC,"","","Strategy, Action, Adventure, Indie, Simulation, 2D, Pixel Graphics, Politics, Political, Memes, Strategy, Action, Adventure, Indie, Simulation, 2D, Pixel Graphics, Politics, Political, Memes"
482890,Fantasy Kingdom Simulator,Game,SimProse Studios,SimProse Studios,13 June 2016 – 17:58:00 UTC,"42.86% of the 77 user reviews are positive.

SteamDB Rating","Fantasy Kingdom Simulator transports you into a medieval realm where you reign as King of four villages, and your duty is to help them grow and blossom into fully developed cities. You'll be making meaningful choices, important decisions and face the consequences if you plan poorly.","Strategy, Indie, Casual, Simulation, Turn-Based Strategy, Grand Strategy, Abstract, Management, Strategy RPG"
462730,Townopolis,Game,Lonely Troops,Lonely Troops,27 April 2016 – 16:03:11 UTC,"68.42% of the 76 user reviews are positive.

SteamDB Rating","Construct an idyllic neighborhood with plenty of houses and keep your residents happy by providing all services they need, and they will reward you with a tidy profit. You can work your way to the top in the comprehensive campaign mode or you can create and play your own custom scenarios.","Strategy, Indie, Casual, Simulation, Building, Singleplayer, City Builder, Isometric, Management, Time Management"
446380,Sophie's Curse,Game,TrerPlay,TrerPlay,16 March 2016 – 22:22:35 UTC,"83.82% of the 408 user reviews are positive.

SteamDB Rating","You got a job, which is to take care of an old man during the night in a recently purchased house; this house does not have electricity and you have to rely on some kind of hand crank generators to light the place up, but there is something in the darkness draining their power, don’t let it happen!","Indie, Casual, Simulation, Horror, Point & Click, Survival Horror, Singleplayer"
500670,Tormentor❌Punisher,Game,E-Studio,Raw Fury,2 June 2017 – 16:08:12 UTC,"88.05% of the 435 user reviews are positive.

SteamDB Rating","Everything in Tormentor❌Punisher can be killed in one hit, from bosses to yourself. Bosses conjure traps to make the arena hellish. Demons adjust to your play style and punish you. Perform combos on enemies and gain cool upgrades. Reload your machine gun by firing your shotgun. Let's do this!","Action, Indie, Music, Aliens, Great Soundtrack, Arcade, Local Co-Op, 2D, Pixel Graphics, Difficult, Cyberpunk, Cartoony, Gore, Cartoon, Violent, Twin Stick Shooter, Female Protagonist, Soundtrack, Demons, Electronic"
