streamer,twitch_profile,partner,language
loltyler1,https://www.twitch.tv/loltyler1,yes,English
gaules,https://www.twitch.tv/gaules,yes,Portuguese
hasanabi,https://www.twitch.tv/hasanabi,yes,English
esl_csgo,https://www.twitch.tv/esl_csgo,yes,English
asmongold,https://www.twitch.tv/asmongold,yes,English
ibai,https://www.twitch.tv/ibai,yes,Spanish
auronplay,https://www.twitch.tv/auronplay,yes,Spanish
csgomc_ru,https://www.twitch.tv/csgomc_ru,yes,Russian
brawlhalla,https://www.twitch.tv/brawlhalla,yes,English
dota2ruhub,https://www.twitch.tv/dota2ruhub,yes,Russian
xqcow,https://www.twitch.tv/xqcow,yes,English
trymacs,https://www.twitch.tv/trymacs,yes,German
sykkuno,https://www.twitch.tv/sykkuno,yes,English
nickmercs,https://www.twitch.tv/nickmercs,yes,English
thegrefg,https://www.twitch.tv/thegrefg,yes,Spanish
shroud,https://www.twitch.tv/shroud,yes,English
sodapoppin,https://www.twitch.tv/sodapoppin,yes,English
timthetatman,https://www.twitch.tv/timthetatman,yes,English
rubius,https://www.twitch.tv/rubius,yes,Spanish
fextralife,https://www.twitch.tv/fextralife,yes,English
alanzoka,https://www.twitch.tv/alanzoka,yes,Portuguese
hanryang1125,https://www.twitch.tv/hanryang1125,yes,Korean
epicenter_en1,https://www.twitch.tv/epicenter_en1,yes,English
mizkif,https://www.twitch.tv/mizkif,yes,English
roshtein,https://www.twitch.tv/roshtein,no,English
lirik,https://www.twitch.tv/lirik,yes,English
symfuhny,https://www.twitch.tv/symfuhny,yes,English
rocketleague,https://www.twitch.tv/rocketleague,yes,English
castro_1021,https://www.twitch.tv/castro_1021,yes,English
summit1g,https://www.twitch.tv/summit1g,yes,English
gladd,https://www.twitch.tv/gladd,yes,English
montanablack88,https://www.twitch.tv/montanablack88,yes,German
juansguarnizo,https://www.twitch.tv/juansguarnizo,yes,Spanish
ludwig,https://www.twitch.tv/ludwig,yes,English
forsen,https://www.twitch.tv/forsen,yes,English
fps_shaka,https://www.twitch.tv/fps_shaka,yes,Japanese
flashpoint,https://www.twitch.tv/flashpoint,yes,English
silvername,https://www.twitch.tv/silvername,yes,Russian
jankos,https://www.twitch.tv/jankos,yes,English
solary,https://www.twitch.tv/solary,yes,French
noway4u_sir,https://www.twitch.tv/noway4u_sir,yes,German
evelone192,https://www.twitch.tv/evelone192,yes,Russian
reborn_live,https://www.twitch.tv/reborn_live,yes,Spanish
tubbo,https://www.twitch.tv/tubbo,yes,English
handongsuk,https://www.twitch.tv/handongsuk,yes,Korean
tfue,https://www.twitch.tv/tfue,yes,English
papaplatte,https://www.twitch.tv/papaplatte,yes,German
moonmoon,https://www.twitch.tv/moonmoon,yes,English
quin69,https://www.twitch.tv/quin69,yes,English
papomc,https://www.twitch.tv/papomc,yes,Spanish
elraenn,https://www.twitch.tv/elraenn,yes,Turkish
trainwreckstv,https://www.twitch.tv/trainwreckstv,yes,English
tommyinnit,https://www.twitch.tv/tommyinnit,yes,English
buster,https://www.twitch.tv/buster,yes,Russian
stylishnoob4,https://www.twitch.tv/stylishnoob4,yes,Japanese
cohhcarnage,https://www.twitch.tv/cohhcarnage,yes,English
lestream,https://www.twitch.tv/lestream,yes,French
admiralbahroo,https://www.twitch.tv/admiralbahroo,yes,English
xayoo_,https://www.twitch.tv/xayoo_,yes,Polish
jean_mago,https://www.twitch.tv/jean_mago,yes,Portuguese
clix,https://www.twitch.tv/clix,yes,English
quackityhq,https://www.twitch.tv/quackityhq,yes,English
benjyfishy,https://www.twitch.tv/benjyfishy,yes,English
beyondthesummit,https://www.twitch.tv/beyondthesummit,yes,English
itshafu,https://www.twitch.tv/itshafu,yes,English
ninja,https://www.twitch.tv/ninja,yes,English
moistcr1tikal,https://www.twitch.tv/moistcr1tikal,yes,English
esfandtv,https://www.twitch.tv/esfandtv,yes,English
gtimetv,https://www.twitch.tv/gtimetv,yes,German
btssmash,https://www.twitch.tv/btssmash,yes,English
sneakylol,https://www.twitch.tv/sneakylol,yes,English
elmiillor,https://www.twitch.tv/elmiillor,yes,Spanish
karljacobs,https://www.twitch.tv/karljacobs,yes,English
squeezie,https://www.twitch.tv/squeezie,yes,French
thijs,https://www.twitch.tv/thijs,yes,English
mongraal,https://www.twitch.tv/mongraal,yes,English
aceu,https://www.twitch.tv/aceu,yes,English
gorgc,https://www.twitch.tv/gorgc,yes,English
kamet0,https://www.twitch.tv/kamet0,yes,French
domingo,https://www.twitch.tv/domingo,yes,French
datto,https://www.twitch.tv/datto,yes,English
coscu,https://www.twitch.tv/coscu,yes,Spanish
ewroon,https://www.twitch.tv/ewroon,yes,Polish
folagorlives,https://www.twitch.tv/folagorlives,yes,Spanish
tsm_imperialhal,https://www.twitch.tv/tsm_imperialhal,yes,English
cellbit,https://www.twitch.tv/cellbit,yes,Portuguese
rainbow6,https://www.twitch.tv/rainbow6,yes,English
loud_coringa,https://www.twitch.tv/loud_coringa,yes,Portuguese
ponce,https://www.twitch.tv/ponce,yes,French
uzra,https://www.twitch.tv/uzra,yes,Chinese
jltomy,https://www.twitch.tv/jltomy,yes,French
gronkhtv,https://www.twitch.tv/gronkhtv,yes,German
nickeh30,https://www.twitch.tv/nickeh30,yes,English
insomniac,https://www.twitch.tv/insomniac,yes,English
bratishkinoff,https://www.twitch.tv/bratishkinoff,yes,Russian
nobru,https://www.twitch.tv/nobru,yes,Portuguese
rdulive,https://www.twitch.tv/rdulive,yes,English
syndicate,https://www.twitch.tv/syndicate,yes,English
elcanaldejoaco,https://www.twitch.tv/elcanaldejoaco,yes,Spanish
dasmehdi,https://www.twitch.tv/dasmehdi,yes,English
georgenotfound,https://www.twitch.tv/georgenotfound,yes,English
nl_kripp,https://www.twitch.tv/nl_kripp,yes,English
maximilian_dood,https://www.twitch.tv/maximilian_dood,yes,English
stray228,https://www.twitch.tv/stray228,yes,Russian
smitegame,https://www.twitch.tv/smitegame,yes,English
annoying,https://www.twitch.tv/annoying,yes,English
c_a_k_e,https://www.twitch.tv/c_a_k_e,yes,Russian
scump,https://www.twitch.tv/scump,yes,English
k3soju,https://www.twitch.tv/k3soju,yes,English
perxitaa,https://www.twitch.tv/perxitaa,yes,Spanish
swagg,https://www.twitch.tv/swagg,yes,English
shlorox,https://www.twitch.tv/shlorox,yes,German
markitonavaja,https://www.twitch.tv/markitonavaja,yes,Spanish
cloakzy,https://www.twitch.tv/cloakzy,yes,English
tfblade,https://www.twitch.tv/tfblade,yes,English
topgamersacademy,https://www.twitch.tv/topgamersacademy,yes,Spanish
amar,https://www.twitch.tv/amar,yes,German
jelty,https://www.twitch.tv/jelty,yes,Spanish
solaryhs,https://www.twitch.tv/solaryhs,yes,French
mistermv,https://www.twitch.tv/mistermv,yes,French
adinross,https://www.twitch.tv/adinross,yes,English
zilioner,https://www.twitch.tv/zilioner,yes,Korean
zerator,https://www.twitch.tv/zerator,yes,French
loud_bak,https://www.twitch.tv/loud_bak,yes,Portuguese
kato_junichi0817,https://www.twitch.tv/kato_junichi0817,yes,Japanese
sardoche,https://www.twitch.tv/sardoche,yes,French
sal_gu,https://www.twitch.tv/sal_gu,yes,Korean
pubg,https://www.twitch.tv/pubg,yes,English
iamcristinini,https://www.twitch.tv/iamcristinini,yes,Spanish
ops1x,https://www.twitch.tv/ops1x,yes,English
nmplol,https://www.twitch.tv/nmplol,yes,English
shivfps,https://www.twitch.tv/shivfps,yes,English
dhalucard,https://www.twitch.tv/dhalucard,yes,German
shuteye_orange,https://www.twitch.tv/shuteye_orange,yes,Chinese
diegosaurs,https://www.twitch.tv/diegosaurs,yes,English
tmxk319,https://www.twitch.tv/tmxk319,yes,Korean
hiko,https://www.twitch.tv/hiko,yes,English
illojuan,https://www.twitch.tv/illojuan,yes,Spanish
tumblurr,https://www.twitch.tv/tumblurr,yes,Italian
ilmasseo,https://www.twitch.tv/ilmasseo,yes,Italian
solaryfortnite,https://www.twitch.tv/solaryfortnite,yes,French
ddahyoni,https://www.twitch.tv/ddahyoni,yes,Korean
rewinside,https://www.twitch.tv/rewinside,yes,German
39daph,https://www.twitch.tv/39daph,yes,English
admiralbulldog,https://www.twitch.tv/admiralbulldog,yes,English
mym_alkapone,https://www.twitch.tv/mym_alkapone,yes,Spanish
brunenger,https://www.twitch.tv/brunenger,yes,Spanish
sparkofphoenixtv,https://www.twitch.tv/sparkofphoenixtv,yes,German
werlyb,https://www.twitch.tv/werlyb,yes,Spanish
blastpremier,https://www.twitch.tv/blastpremier,yes,English
bugha,https://www.twitch.tv/bugha,yes,English
locklear,https://www.twitch.tv/locklear,yes,French
destiny,https://www.twitch.tv/destiny,no,English
mutex,https://www.twitch.tv/mutex,yes,English
greekgodx,https://www.twitch.tv/greekgodx,yes,English
dogdog,https://www.twitch.tv/dogdog,yes,English
alexelcapo,https://www.twitch.tv/alexelcapo,yes,Spanish
deercheerup,https://www.twitch.tv/deercheerup,yes,Portuguese
blxckoutz,https://www.twitch.tv/blxckoutz,yes,Portuguese
goncho,https://www.twitch.tv/goncho,yes,Spanish
gafallen,https://www.twitch.tv/gafallen,yes,Portuguese
mandzio,https://www.twitch.tv/mandzio,yes,Polish
esl_sc2,https://www.twitch.tv/esl_sc2,yes,English
agraelus,https://www.twitch.tv/agraelus,yes,Czech
elotrix,https://www.twitch.tv/elotrix,yes,German
homyatol,https://www.twitch.tv/homyatol,yes,Italian
relaxing234,https://www.twitch.tv/relaxing234,yes,Chinese
roger9527,https://www.twitch.tv/roger9527,yes,Chinese
